Date,Price,Open,High,Low,Vol.,Change %
01/31/2010,2939.40 ,2981.37 ,3015.13 ,2890.02 ,46.88B,-1.67%
01/24/2010,2989.29 ,3103.32 ,3137.00 ,2963.89 ,40.23B,-4.45%
01/17/2010,3128.59 ,3213.64 ,3268.81 ,3062.63 ,67.53B,-2.96%
01/10/2010,3224.15 ,3301.61 ,3306.75 ,3165.49 ,69.18B,0.88%
01/03/2010,3196.00 ,3289.75 ,3295.87 ,3149.02 ,58.62B,-2.48%
12/27/2009,3277.14 ,3148.86 ,3282.21 ,3148.86 ,43.98B,4.32%
12/20/2009,3141.35 ,3108.07 ,3156.53 ,3039.86 ,42.67B,0.88%
12/13/2009,3113.89 ,3246.95 ,3315.03 ,3108.03 ,53.11B,-4.11%
12/06/2009,3247.32 ,3313.06 ,3334.01 ,3225.56 ,57.79B,-2.10%
11/29/2009,3317.04 ,3114.29 ,3319.13 ,3114.29 ,85.44B,7.13%
11/22/2009,3096.26 ,3312.97 ,3361.39 ,3080.89 ,97.56B,-6.41%
11/15/2009,3308.35 ,3206.43 ,3332.53 ,3206.43 ,87.58B,3.79%
11/08/2009,3187.65 ,3162.15 ,3211.11 ,3127.50 ,69.76B,0.75%
11/01/2009,3164.04 ,2933.82 ,3183.57 ,2923.53 ,74.22B,5.61%
10/25/2009,2995.85 ,3114.29 ,3123.36 ,2952.01 ,55.18B,-3.60%
10/18/2009,3107.85 ,2974.64 ,3123.46 ,2962.31 ,64.14B,4.41%
10/11/2009,2976.63 ,2927.02 ,3014.26 ,2886.96 ,48.87B,2.23%
10/04/2009,2911.72 ,2840.13 ,2912.55 ,2834.62 ,8.55B,4.76%
09/27/2009,2779.43 ,2844.37 ,2857.95 ,2712.30 ,21.03B,-2.09%
09/20/2009,2838.84 ,2937.93 ,2982.89 ,2783.11 ,54.56B,-4.18%
09/13/2009,2962.67 ,2990.93 ,3068.03 ,2940.83 ,76.44B,-0.91%
09/06/2009,2989.79 ,2877.62 ,2999.33 ,2831.85 ,61.90B,4.48%
08/30/2009,2861.61 ,2817.63 ,2875.98 ,2639.76 ,55.90B,0.03%
08/23/2009,2860.69 ,2982.19 ,3004.90 ,2823.64 ,65.83B,-3.38%
08/16/2009,2960.77 ,2994.87 ,3020.26 ,2761.39 ,58.26B,-2.83%
08/09/2009,3046.97 ,3287.76 ,3307.89 ,3039.30 ,60.76B,-6.55%
08/02/2009,3260.69 ,3429.69 ,3478.01 ,3244.10 ,94.28B,-4.44%
07/26/2009,3412.06 ,3377.72 ,3454.02 ,3174.21 ,106.94B,1.17%
07/19/2009,3372.60 ,3203.89 ,3398.05 ,3192.90 ,92.08B,5.73%
07/12/2009,3189.74 ,3098.96 ,3221.07 ,3076.30 ,87.01B,2.43%
07/05/2009,3113.93 ,3091.48 ,3140.04 ,3011.21 ,84.60B,0.83%
06/28/2009,3088.37 ,2930.31 ,3088.86 ,2918.39 ,71.40B,5.47%
06/21/2009,2928.21 ,2900.57 ,2946.90 ,2841.90 ,66.12B,1.66%
06/14/2009,2880.49 ,2743.03 ,2886.50 ,2727.74 ,61.23B,4.98%
06/07/2009,2743.76 ,2753.34 ,2828.74 ,2721.85 ,67.29B,-0.37%
05/31/2009,2753.89 ,2668.40 ,2791.65 ,2668.40 ,77.75B,4.59%
05/24/2009,2632.93 ,2555.34 ,2635.31 ,2538.62 ,32.97B,1.36%
05/17/2009,2597.60 ,2632.57 ,2688.11 ,2578.59 ,64.28B,-1.80%
05/10/2009,2645.26 ,2646.29 ,2670.21 ,2558.96 ,68.27B,0.75%
05/03/2009,2625.64 ,2486.68 ,2634.06 ,2486.22 ,81.62B,5.98%
04/26/2009,2477.57 ,2443.44 ,2491.07 ,2372.34 ,46.55B,1.18%
04/19/2009,2448.59 ,2500.17 ,2579.22 ,2422.79 ,74.64B,-2.21%
04/12/2009,2503.93 ,2468.08 ,2549.31 ,2464.06 ,88.54B,2.44%
04/05/2009,2444.23 ,2422.10 ,2449.54 ,2331.88 ,54.17B,1.01%
03/29/2009,2419.78 ,2377.96 ,2456.81 ,2299.16 ,82.11B,1.91%
03/22/2009,2374.44 ,2286.25 ,2392.77 ,2274.89 ,81.27B,4.09%
03/15/2009,2281.09 ,2122.41 ,2294.12 ,2108.61 ,64.75B,7.15%
03/08/2009,2128.85 ,2205.75 ,2232.67 ,2086.02 ,48.27B,-2.93%
03/01/2009,2193.01 ,2066.23 ,2241.76 ,2037.02 ,64.64B,5.29%
02/22/2009,2082.85 ,2249.29 ,2313.59 ,2064.92 ,76.81B,-7.90%
02/15/2009,2261.48 ,2338.76 ,2402.81 ,2190.47 ,83.08B,-2.56%
02/08/2009,2320.79 ,2211.32 ,2323.12 ,2191.89 ,94.79B,6.40%
02/01/2009,2181.24 ,2008.13 ,2185.09 ,1987.13 ,69.72B,9.57%
01/18/2009,1990.66 ,1971.00 ,2018.51 ,1956.10 ,44.55B,1.85%
01/11/2009,1954.44 ,1897.70 ,1984.73 ,1861.81 ,49.44B,2.60%
01/04/2009,1904.86 ,1849.02 ,1948.23 ,1844.09 ,41.02B,4.62%
12/28/2008,1820.81 ,1846.30 ,1862.94 ,1814.75 ,16.19B,-1.66%
12/21/2008,1851.52 ,2016.45 ,2016.45 ,1832.36 ,37.81B,-8.27%
12/14/2008,2018.46 ,1977.03 ,2038.66 ,1907.83 ,45.15B,3.29%
12/07/2008,1954.21 ,2049.16 ,2100.81 ,1932.27 ,66.84B,-3.19%
11/30/2008,2018.66 ,1865.74 ,2055.21 ,1838.10 ,61.55B,7.88%
11/23/2008,1871.16 ,1961.21 ,2022.48 ,1856.29 ,41.93B,-4.99%
11/16/2008,1969.39 ,1981.26 ,2050.88 ,1883.84 ,68.03B,-0.86%
11/09/2008,1986.44 ,1782.31 ,1987.26 ,1782.31 ,49.95B,13.66%
